sex,age,day,meal,length,miles,pref,ptysize,food,svc,recmd,bill,tip
male,34,Tuesday,lunch,48,13,table,5,3,4,yes,60.31,7
other,39,Monday,breakfast,30,7,booth,1,4,4,yes,5.91,1
female,32,Wednesday,lunch,36,20,table,3,5,5,yes,34.87,4
male,59,Tuesday,breakfast,30,19,table,2,2,3,yes,11.59,1
male,31,Friday,dinner,45,18,table,5,4,3,yes,76.81,12
female,52,Monday,lunch,40,24,booth,4,4,4,yes,53.81,3
female,25,Tuesday,breakfast,25,23,booth,3,5,4,yes,16.1,1
male,27,Wednesday,other,23,23,booth,2,4,5,yes,9.51,1
female,39,Friday,dinner,45,13,booth,3,2,2,no,44.97,7
female,53,Friday,dinner,49,6,table,6,3,3,yes,105.37,8
male,46,Wednesday,breakfast,26,12,table,4,2,2,no,18.66,1
female,31,Thursday,dinner,40,11,table,4,5,5,yes,54.04,9
male,45,Thursday,lunch,37,21,booth,2,3,4,yes,18.87,2
male,50,Friday,dinner,38,22,table,5,3,3,yes,76.47,12
female,56,Saturday,dinner,43,10,booth,2,3,4,yes,29.31,3
female,68,Friday,dinner,30,16,table,4,4,4,yes,50.19,4
male,67,Tuesday,other,20,17,booth,3,3,3,yes,17.26,1
male,58,Tuesday,breakfast,32,17,table,2,5,5,yes,9.55,1
male,32,Wednesday,other,20,21,table,2,4,4,yes,10.03,1
female,37,Friday,dinner,38,14,table,3,2,2,no,43.53,7
female,27,Monday,lunch,42,19,table,3,4,4,yes,41.58,5
male,23,Wednesday,dinner,38,11,table,8,4,4,yes,148.43,23
female,40,Sunday,other,19,15,booth,1,5,5,yes,5.92,1
female,63,Thursday,lunch,41,19,booth,1,5,4,yes,9.03,1
male,47,Thursday,lunch,43,13,booth,2,5,4,yes,25.52,3
male,42,Saturday,dinner,41,16,table,3,4,4,yes,55.54,9
female,58,Monday,lunch,42,16,booth,4,4,5,yes,30.34,2
male,30,Thursday,breakfast,34,15,booth,1,3,2,no,6.11,1
male,24,Saturday,dinner,50,12,table,6,5,4,yes,86.7,14
female,54,Tuesday,lunch,40,8,table,2,3,4,yes,15.14,1
male,54,Wednesday,breakfast,30,15,table,2,1,2,no,11,1
male,49,Saturday,dinner,40,5,booth,3,3,3,yes,57.44,9
female,38,Monday,other,19,20,table,1,4,3,yes,4.79,1
other,55,Tuesday,breakfast,30,17,table,2,2,2,no,13.91,1
male,53,Thursday,lunch,45,16,booth,1,1,1,no,11.93,1
male,50,Thursday,lunch,33,17,table,2,5,4,yes,18.59,2
female,57,Thursday,other,20,7,table,2,2,2,no,7.59,1
male,48,Thursday,other,19,17,booth,2,5,5,yes,9.25,1
female,58,Sunday,dinner,42,8,booth,4,3,3,yes,47.45,4
male,62,Wednesday,lunch,36,13,table,5,4,4,yes,54.11,3
female,62,Friday,breakfast,28,8,booth,3,4,4,yes,10.24,1
female,55,Wednesday,lunch,42,18,table,3,4,3,yes,28.43,2
other,26,Saturday,breakfast,34,7,booth,2,4,4,yes,7.68,1
male,37,Sunday,dinner,39,12,booth,3,5,5,yes,38.42,6
female,63,Saturday,dinner,40,6,booth,4,3,3,yes,51.05,4
other,49,Thursday,dinner,43,14,table,5,4,4,yes,86.07,13
male,56,Thursday,breakfast,30,20,table,2,5,4,yes,11.29,1
male,44,Tuesday,lunch,36,10,table,2,3,3,yes,23.69,3
female,39,Sunday,dinner,54,13,booth,3,4,3,yes,50.46,8
male,61,Monday,lunch,41,25,booth,2,4,4,yes,14.81,1
female,22,Thursday,other,18,7,booth,1,4,5,yes,5.11,1
female,44,Sunday,dinner,52,15,table,4,5,5,yes,73.83,12
female,51,Friday,lunch,43,9,table,1,4,4,yes,10.42,1
male,27,Friday,dinner,39,17,booth,3,4,4,yes,55.89,9
female,34,Tuesday,other,21,22,booth,2,3,3,yes,10.2,1
